ID,name,phone,address,country,cityName,province,date
650100000011900000010220171219100515999830151001,刘强,13505325934,青海省南京县上街深圳街T座 618144,古巴,潜江,安徽省,1970-07-01
650100000011900000010220171219100515999830151002,尧晨,18241278447,重庆市南昌市永川沈阳街F座 976223,法国,柳州,香港特别行政区,2002-01-20
650100000011900000010220171219100515999830151003,陈雷,13783257174,天津市艳县翔安哈尔滨路x座 358340,澳大利亚,杭州,河南省,2013-06-30
650100000011900000010220171219100515999830151004,王萍,14727427402,青海省瑞市秀英张街g座 244018,朝鲜,嘉禾,山西省,2013-05-02
650100000011900000010220171219100515999830151005,唐淑兰,15112412719,内蒙古自治区鹏县海陵曹街y座 233041,扎伊尔,邯郸,上海市,1989-05-29
650100000011900000010220171219100515999830151006,杜帅,13253672878,福建省凤兰县友好侯街N座 421480,斐济,六盘水,内蒙古自治区,1973-06-17
650100000011900000010220171219100515999830151007,苏瑜,15097916092,山西省霞市沙湾哈尔滨街s座 574418,加纳,重庆,宁夏回族自治区,1982-06-27
650100000011900000010220171219100515999830151008,蒋霞,15712216200,黑龙江省太原市孝南谢路U座 673314,摩尔多瓦,呼和浩特,江西省,2004-05-10
650100000011900000010220171219100515999830151009,黄成,15831162105,山东省宜都县徐汇邹街g座 903727,摩洛哥,长沙,香港特别行政区,2016-05-05
650100000011900000010220171219100515999830151010,张桂珍,14562831159,重庆市红市西峰银川路s座 959136,科科斯岛,海口,云南省,2021-10-03
650100000011900000010220171219100515999830151011,张敏,13295560572,北京市郑州县沈北新王街f座 604403,牙买加,六安,河南省,1993-08-05
650100000011900000010220171219100515999830151012,石桂珍,15725164580,香港特别行政区南宁市金平强路l座 812871,安哥拉,西安,广西壮族自治区,1994-11-03
650100000011900000010220171219100515999830151013,邱桂荣,18887337740,安徽省宁德市南长荆门街k座 552471,法罗群岛,兴安盟,香港特别行政区,1973-06-27
